"","mouse.names","human.names","mouse.ensemble"
"13728","Slc10a3","SLC10A3","ENSMUSG00000032806"
"13729","Setd2","SETD2","ENSMUSG00000044791"
"13730","Abr","ABR","ENSMUSG00000017631"
"13731","Fitm1","FITM1","ENSMUSG00000022215"
"13732","Setd3","SETD3","ENSMUSG00000056770"
"13733","Setd6","SETD6","ENSMUSG00000031671"
"13734","Slc10a4","SLC10A4","ENSMUSG00000029219"
"13736","Fam83c","FAM83C","ENSMUSG00000074647"
"13737","Fam83e","FAM83E","ENSMUSG00000054161"
"13738","Fam91a1","FAM91A1","ENSMUSG00000037119"
"13739","Fam107b","FAM107B","ENSMUSG00000026655"
"13740","Slc10a7","SLC10A7","ENSMUSG00000031684"
"13741","Slc4a8","SLC4A8","ENSMUSG00000023032"
"13742","Slc5a4a","SLC5A4","ENSMUSG00000020229"
"13744","Slc5a1","SLC5A1","ENSMUSG00000011034"
"13745","Slc5a2","SLC5A2","ENSMUSG00000030781"
"13746","Slc5a7","SLC5A7","ENSMUSG00000023945"
"13747","Slc5a9","SLC5A9","ENSMUSG00000028544"
"13748","Timm21","TIMM21","ENSMUSG00000024645"
"13749","Slc5a11","SLC5A11","ENSMUSG00000030769"
"13750","Slc50a1","SLC50A1","ENSMUSG00000027953"
"13751","Slc52a3","SLC52A3","ENSMUSG00000027463"
"13752","Slc40a1","SLC40A1","ENSMUSG00000025993"
"13753","Slc43a1","SLC43A1","ENSMUSG00000027075"
"13754","Slc44a1","SLC44A1","ENSMUSG00000028412"
"13755","Slc44a3","SLC44A3","ENSMUSG00000039865"
"13756","Slc30a2","SLC30A2","ENSMUSG00000028836"
"13757","Slc30a4","SLC30A4","ENSMUSG00000005802"
"13758","Slc35b4","SLC35B4","ENSMUSG00000018999"
"13759","Fam43b","FAM43B","ENSMUSG00000078235"
"13760","Cyria","CYRIA","ENSMUSG00000020589"
"13761","Cyrib","CYRIB","ENSMUSG00000022378"
"13762","Fam76b","FAM76B","ENSMUSG00000037808"
"13763","Fam167a","FAM167A","ENSMUSG00000035095"
"13764","Fam167b","FAM167B","ENSMUSG00000050493"
"13765","Fam168a","FAM168A","ENSMUSG00000029461"
"13766","Fam168b","FAM168B","ENSMUSG00000037503"
"13767","Fam169b","FAM169BP","ENSMUSG00000074071"
"13768","Fam210b","FAM210B","ENSMUSG00000027495"
"13769","Fam221a","FAM221A","ENSMUSG00000047115"
"13770","Fam222b","FAM222B","ENSMUSG00000037750"
"13771","Slc4a7","SLC4A7","ENSMUSG00000021733"
"13772","Slc4a10","SLC4A10","ENSMUSG00000026904"
"13773","Slc5a5","SLC5A5","ENSMUSG00000000792"
"13774","Slc45a1","SLC45A1","ENSMUSG00000039838"
"13775","Slc46a1","SLC46A1","ENSMUSG00000020829"
"13776","Slc48a1","SLC48A1","ENSMUSG00000081534"
"13777","Slc33a1","SLC33A1","ENSMUSG00000027822"
"13778","Slc32a1","SLC32A1","ENSMUSG00000037771"
"13779","Slc31a2","SLC31A2","ENSMUSG00000066152"
"13780","Slc35a4","SLC35A4","ENSMUSG00000033272"
"13781","Fam20b","FAM20B","ENSMUSG00000033557"
"13782","Fam20a","FAM20A","ENSMUSG00000020614"
"13783","Lratd1","LRATD1","ENSMUSG00000020607"
"13784","Fam13a","FAM13A","ENSMUSG00000037709"
"13785","Fam8a1","FAM8A1","ENSMUSG00000069237"
"13786","Fam50b","FAM50B","ENSMUSG00000038246"
"13787","Fam50a","FAM50A","ENSMUSG00000001962"
"13788","Fam78b","FAM78B","ENSMUSG00000060568"
"13789","Fam83h","FAM83H","ENSMUSG00000046761"
"13790","Fam89a","FAM89A","ENSMUSG00000043068"
"13791","Fam98a","FAM98A","ENSMUSG00000002017"
"13792","Fam98b","FAM98B","ENSMUSG00000027349"
"13793","Eeig2","EEIG2","ENSMUSG00000040339"
"13794","Fam110a","FAM110A","ENSMUSG00000027459"
"13795","Fam110c","FAM110C","ENSMUSG00000036136"
"13796","Fam117b","FAM117B","ENSMUSG00000041040"
"13797","Fam118b","FAM118B","ENSMUSG00000050471"
"13798","Fam118a","FAM118A","ENSMUSG00000022434"
"13799","Bckdhb","BCKDHB","ENSMUSG00000032263"
"13800","Fam185a","FAM185A","ENSMUSG00000047221"
"13801","Entrep1","ENTREP1","ENSMUSG00000071604"
"13802","Fam193a","FAM193A","ENSMUSG00000037210"
"13803","Fam219a","FAM219A","ENSMUSG00000028439"
"13804","Kcnq1","KCNQ1","ENSMUSG00000009545"
"13805","Fam234a","FAM234A","ENSMUSG00000024187"
"13806","Fam234b","FAM234B","ENSMUSG00000030207"
"13807","Slc2a5","SLC2A5","ENSMUSG00000028976"
"13808","Slc2a6","SLC2A6","ENSMUSG00000036067"
"13809","Slc2a8","SLC2A8","ENSMUSG00000026791"
"13810","Tafa1","TAFA1","ENSMUSG00000059187"
"13811","Fam13b","FAM13B","ENSMUSG00000036501"
"13812","Fam53b","FAM53B","ENSMUSG00000030956"
"13813","Fam78a","FAM78A","ENSMUSG00000050592"
"13814","Fam83d","FAM83D","ENSMUSG00000027654"
"13815","Spata45","SPATA45","ENSMUSG00000057072"
"13816","Fam171a1","FAM171A1","ENSMUSG00000050530"
"13817","Eeig1","EEIG1","ENSMUSG00000039157"
"13818","Atosb","ATOSB","ENSMUSG00000036002"
"13819","Slc2a10","SLC2A10","ENSMUSG00000027661"
"13820","Slc35f1","SLC35F1","ENSMUSG00000038602"
"13821","Slc35f2","SLC35F2","ENSMUSG00000042195"
"13822","Slc35f3","SLC35F3","ENSMUSG00000057060"
"13823","Slc35f6","SLC35F6","ENSMUSG00000029175"
"13824","Slc35g2","SLC35G2","ENSMUSG00000070287"
"13825","Slc37a1","SLC37A1","ENSMUSG00000024036"
"13826","Slc37a4","SLC37A4","ENSMUSG00000032114"
"13827","Slc38a2","SLC38A2","ENSMUSG00000022462"
"13828","Slc39a10","SLC39A10","ENSMUSG00000025986"
"13829","Slc39a7","SLC39A7","ENSMUSG00000024327"
"13830","Tafa4","TAFA4","ENSMUSG00000046500"
"13831","Bckdha","BCKDHA","ENSMUSG00000060376"
"13832","Fam131b","FAM131B","ENSMUSG00000029861"
"13833","Fam133b","FAM133B","ENSMUSG00000058503"
"13834","Fam135b","FAM135B","ENSMUSG00000036800"
"13835","Fam162a","FAM162A","ENSMUSG00000003955"
"13836","Fam184b","FAM184B","ENSMUSG00000015879"
"13837","Entrep2","ENTREP2","ENSMUSG00000030518"
"13838","Fam228b","FAM228B","ENSMUSG00000050545"
"13839","Fam228a","FAM228A","ENSMUSG00000079177"
"13840","Fam163b","FAM163B","ENSMUSG00000009216"
"13841","Slc2a9","SLC2A9","ENSMUSG00000005107"
"13842","Slc35a3","SLC35A3","ENSMUSG00000027957"
"13843","Slc35b1","SLC35B1","ENSMUSG00000020873"
"13844","Slc35a2","SLC35A2","ENSMUSG00000031156"
"13845","Slc34a2","SLC34A2","ENSMUSG00000029188"
"13846","Slc35f4","SLC35F4","ENSMUSG00000021852"
"13847","Slc39a8","SLC39A8","ENSMUSG00000053897"
"13848","Slc39a6","SLC39A6","ENSMUSG00000024270"
"13849","Slc39a4","SLC39A4","ENSMUSG00000063354"
"13850","Slc39a2","SLC39A2","ENSMUSG00000072572"
"13851","Slc38a11","SLC38A11","ENSMUSG00000061171"
"13852","Slc38a9","SLC38A9","ENSMUSG00000047789"
"13853","Slc38a7","SLC38A7","ENSMUSG00000036534"
"13854","Slc38a6","SLC38A6","ENSMUSG00000044712"
"13855","Slc6a15","SLC6A15","ENSMUSG00000019894"
"13856","Slc6a18","SLC6A18","ENSMUSG00000021612"
"13857","Slc7a14","SLC7A14","ENSMUSG00000069072"
"13858","Fhip2a","FHIP2A","ENSMUSG00000033478"
"13859","Fam83b","FAM83B","ENSMUSG00000032358"
"13860","Fam81b","FAM81B","ENSMUSG00000109228"
"13861","Fam89b","FAM89B","ENSMUSG00000024939"
"13862","Fam114a1","FAM114A1","ENSMUSG00000029185"
"13863","Fam114a2","FAM114A2","ENSMUSG00000020523"
"13864","Neurod2","NEUROD2","ENSMUSG00000038255"
"13865","Fam136a","FAM136A","ENSMUSG00000057497"
"13866","Fam149b","FAM149B1","ENSMUSG00000039599"
"13867","Fam151a","FAM151A","ENSMUSG00000034871"
"13868","Fam151b","FAM151B","ENSMUSG00000034334"
"13869","Slc5a12","SLC5A12","ENSMUSG00000041644"
"13870","Slc35e4","SLC35E4","ENSMUSG00000048807"
"13871","Slc39a13","SLC39A13","ENSMUSG00000002105"
"13872","Slc39a5","SLC39A5","ENSMUSG00000039878"
"13873","Slc38a10","SLC38A10","ENSMUSG00000061306"
"13874","Slc38a4","SLC38A4","ENSMUSG00000022464"
"13875","Slc6a14","SLC6A14","ENSMUSG00000031089"
"13876","Slc6a9","SLC6A9","ENSMUSG00000028542"
"13877","Slc6a8","SLC6A8","ENSMUSG00000019558"
"13878","Slc6a2","SLC6A2","ENSMUSG00000055368"
"13879","Fam174b","FAM174B","ENSMUSG00000078670"
"13880","Fam204a","FAM204A","ENSMUSG00000057858"
"13881","Fam210a","FAM210A","ENSMUSG00000038121"
"13882","Slc3a1","SLC3A1","ENSMUSG00000024131"
"13883","Slc4a3","SLC4A3","ENSMUSG00000006576"
"13884","Slc4a1ap","SLC4A1AP","ENSMUSG00000029141"
"13885","Slc4a11","SLC4A11","ENSMUSG00000074796"
"13886","Slc45a2","SLC45A2","ENSMUSG00000022243"
"13887","Slc30a1","SLC30A1","ENSMUSG00000037434"
"13888","Slc30a5","SLC30A5","ENSMUSG00000021629"
"13889","Slc30a7","SLC30A7","ENSMUSG00000054414"
"13890","Slc30a9","SLC30A9","ENSMUSG00000029221"
"13891","Slc30a10","SLC30A10","ENSMUSG00000026614"
"13892","Slc35a1","SLC35A1","ENSMUSG00000028293"
"13893","Slc35e3","SLC35E3","ENSMUSG00000060181"
"13894","Slc35e1","SLC35E1","ENSMUSG00000019731"
"13895","Slc35d2","SLC35D2","ENSMUSG00000033114"
"13896","Slc35c1","SLC35C1","ENSMUSG00000049922"
"13897","Slc36a4","SLC36A4","ENSMUSG00000043885"
"13898","Slc6a3","SLC6A3","ENSMUSG00000021609"
"13899","Slc6a19","SLC6A19","ENSMUSG00000021565"
"13900","Slc7a4","SLC7A4","ENSMUSG00000022756"
"13901","Slc9a2","SLC9A2","ENSMUSG00000026062"
"13902","Slc9a4","SLC9A4","ENSMUSG00000026065"
"13903","Slc24a4","SLC24A4","ENSMUSG00000041771"
"13904","Slc24a5","SLC24A5","ENSMUSG00000035183"
"13905","Slc23a2","SLC23A2","ENSMUSG00000027340"
"13906","Slc23a1","SLC23A1","ENSMUSG00000024354"
"13908","Slc22a18","SLC22A18","ENSMUSG00000000154"
"13909","Slc25a26","SLC25A26","ENSMUSG00000045100"
"13910","Slc14a1","SLC14A1","ENSMUSG00000059336"
"13911","Slc14a2","SLC14A2","ENSMUSG00000024552"
"13912","Slc12a3","SLC12A3","ENSMUSG00000031766"
"13913","Slc15a4","SLC15A4","ENSMUSG00000029416"
"13914","Slc13a5","SLC13A5","ENSMUSG00000020805"
"13915","Tbx21","TBX21","ENSMUSG00000001444"
"13916","Slc7a5","SLC7A5","ENSMUSG00000040010"
"13917","Slc7a7","SLC7A7","ENSMUSG00000000958"
"13918","Slc7a11","SLC7A11","ENSMUSG00000027737"
"13919","Slc9a5","SLC9A5","ENSMUSG00000014786"
"13920","Slc20a1","SLC20A1","ENSMUSG00000027397"
"13921","Slc8b1","SLC8B1","ENSMUSG00000032754"
"13922","Slc8a3","SLC8A3","ENSMUSG00000079055"
"13923","Slc22a16","SLC22A16","ENSMUSG00000019834"
"13924","Slc20a2","SLC20A2","ENSMUSG00000037656"
"13925","Slc25a4","SLC25A4","ENSMUSG00000031633"
"13926","Slc25a3","SLC25A3","ENSMUSG00000061904"
"13927","Tbx5","TBX5","ENSMUSG00000018263"
"13928","Tbx1","TBX1","ENSMUSG00000009097"
"13929","Slc24a3","SLC24A3","ENSMUSG00000063873"
"13930","Slc24a2","SLC24A2","ENSMUSG00000037996"
"13931","Slc24a1","SLC24A1","ENSMUSG00000034452"
"13932","Slc23a3","SLC23A3","ENSMUSG00000026205"
"13933","Slc22a23","SLC22A23","ENSMUSG00000038267"
"13934","Slc25a23","SLC25A23","ENSMUSG00000046329"
"13935","Slc25a41","SLC25A41","ENSMUSG00000011486"
"13936","Slc25a21","SLC25A21","ENSMUSG00000035472"
"13937","Slc25a16","SLC25A16","ENSMUSG00000071253"
"13938","Slc25a28","SLC25A28","ENSMUSG00000040414"
"13939","Slc26a11","SLC26A11","ENSMUSG00000039908"
"13940","Slc26a10","SLC26A10P","ENSMUSG00000040441"
"13941","Slc29a3","SLC29A3","ENSMUSG00000020100"
"13942","Slc11a2","SLC11A2","ENSMUSG00000023030"
"13943","Slc11a1","SLC11A1","ENSMUSG00000026177"
"13944","Slc12a9","SLC12A9","ENSMUSG00000037344"
"13945","Slc16a2","SLC16A2","ENSMUSG00000033965"
"13946","Slc16a4","SLC16A4","ENSMUSG00000027896"
"13947","Slc25a24","SLC25A24","ENSMUSG00000040322"
"13948","Slc25a18","SLC25A18","ENSMUSG00000004902"
"13949","Slc25a43","SLC25A43","ENSMUSG00000037636"
"13950","Slc19a1","SLC19A1","ENSMUSG00000001436"
"13951","Slc19a2","SLC19A2","ENSMUSG00000040918"
"13952","Tbx22","TBX22","ENSMUSG00000031241"
"13953","Slc25a15","SLC25A15","ENSMUSG00000031482"
"13954","Slc25a2","SLC25A2","ENSMUSG00000050304"
"13955","Slc25a14","SLC25A14","ENSMUSG00000031105"
"13956","Slc25a30","SLC25A30","ENSMUSG00000022003"
"13957","Slc25a12","SLC25A12","ENSMUSG00000027010"
"13958","Slc25a11","SLC25A11","ENSMUSG00000014606"
"13959","Slc25a39","SLC25A39","ENSMUSG00000018677"
"13960","Slc25a37","SLC25A37","ENSMUSG00000034248"
"13961","Slc25a35","SLC25A35","ENSMUSG00000018740"
"13962","Slc26a5","SLC26A5","ENSMUSG00000029015"
"13963","Slc22a15","SLC22A15","ENSMUSG00000033147"
"13964","Slc12a4","SLC12A4","ENSMUSG00000017765"
"13965","Slc15a2","SLC15A2","ENSMUSG00000022899"
"13966","Slc17a5","SLC17A5","ENSMUSG00000049624"
"13967","Slc17a9","SLC17A9","ENSMUSG00000023393"
"13968","Slc19a3","SLC19A3","ENSMUSG00000038496"
"13969","Mknk1","MKNK1","ENSMUSG00000028708"
"13970","Adrm1","ADRM1","ENSMUSG00000039041"
"13972","Lin28a","LIN28A","ENSMUSG00000050966"
"13973","Psmd2","PSMD2","ENSMUSG00000006998"
"13974","Rbm44","RBM44","ENSMUSG00000070732"
"13975","Rnf122","RNF122","ENSMUSG00000039328"
"13976","Retsat","RETSAT","ENSMUSG00000056666"
"13977","Rnf157","RNF157","ENSMUSG00000052949"
"13978","Rnf224","RNF224","ENSMUSG00000089953"
"13979","Opa3","OPA3","ENSMUSG00000052214"
"13980","Rapgef2","RAPGEF2","ENSMUSG00000062232"
"13981","Ino80","INO80","ENSMUSG00000034154"
"13982","Cwc22rt5","CWC22","ENSMUSG00000096337"
"13990","Rusf1","RUSF1","ENSMUSG00000030780"
"13991","Cwc27","CWC27","ENSMUSG00000021715"
"13992","Lrrc41","LRRC41","ENSMUSG00000028703"
"13993","Tpgs1","TPGS1","ENSMUSG00000020308"
"13994","Cep20","CEP20","ENSMUSG00000022677"
"13995","Snx27","SNX27","ENSMUSG00000028136"
"13996","Tbx19","TBX19","ENSMUSG00000026572"
"13997","Tbx18","TBX18","ENSMUSG00000032419"
"13998","Tbx15","TBX15","ENSMUSG00000027868"
"13999","C2cd5","C2CD5","ENSMUSG00000030279"
"14000","Cwc25","CWC25","ENSMUSG00000018541"
"14001","Mettl1","METTL1","ENSMUSG00000006732"
"14002","Lrrc71","LRRC71","ENSMUSG00000023084"
"14003","Gabra2","GABRA2","ENSMUSG00000000560"
"14004","Ltn1","LTN1","ENSMUSG00000052299"
"14005","Chrna9","CHRNA9","ENSMUSG00000029205"
"14006","Lhx6","LHX6","ENSMUSG00000026890"
"14007","Iqsec2","IQSEC2","ENSMUSG00000041115"
"14008","Larp1","LARP1","ENSMUSG00000037331"
"14009","Tk2","TK2","ENSMUSG00000035824"
"14010","Faxc","FAXC","ENSMUSG00000028246"
"14011","Tafa5","TAFA5","ENSMUSG00000054863"
"14012","H1f10","H1-10","ENSMUSG00000044927"
"14013","H1f0","H1-0","ENSMUSG00000096210"
"14014","H2az2","H2AZ2","ENSMUSG00000041126"
"14015","Grxcr1","GRXCR1","ENSMUSG00000068082"
"14016","Cwc15","CWC15","ENSMUSG00000004096"
"14017","Mknk2","MKNK2","ENSMUSG00000020190"
"14018","Tub","TUB","ENSMUSG00000031028"
"14019","Sec23b","SEC23B","ENSMUSG00000027429"
"14020","Shfl","SHFL","ENSMUSG00000038884"
"14021","Slc66a1","SLC66A1","ENSMUSG00000028744"
"14022","Gpha2","GPHA2","ENSMUSG00000024784"
"14023","Ogdhl","OGDHL","ENSMUSG00000021913"
"14024","Ecrg4","ECRG4","ENSMUSG00000026051"
"14025","Osm","OSM","ENSMUSG00000058755"
"14026","Wnt4","WNT4","ENSMUSG00000036856"
"14027","Tshb","TSHB","ENSMUSG00000027857"
"14028","Pcare","PCARE","ENSMUSG00000044375"
"14029","Get3","GET3","ENSMUSG00000052456"
"14030","Runx1t1","RUNX1T1","ENSMUSG00000006586"
"14031","Cbfa2t3","CBFA2T3","ENSMUSG00000006362"
"14032","Wrnip1","WRNIP1","ENSMUSG00000021400"
"14033","Prorp","PRORP","ENSMUSG00000021023"
"14034","Sec23a","SEC23A","ENSMUSG00000020986"
"14035","Slc7a1","SLC7A1","ENSMUSG00000041313"
"14036","Get4","GET4","ENSMUSG00000025858"
"14037","Sec61a1","SEC61A1","ENSMUSG00000030082"
"14038","Mdfic","MDFIC","ENSMUSG00000041390"
"14039","Cert1","CERT1","ENSMUSG00000021669"
"14040","Tigar","TIGAR","ENSMUSG00000038028"
"14041","Cnga3","CNGA3","ENSMUSG00000026114"
"14042","Cnga1","CNGA1","ENSMUSG00000067220"
"14043","Sox21","SOX21","ENSMUSG00000061517"
"14044","Sry","SRY","ENSMUSG00000069036"
"14045","Sox15","SOX15","ENSMUSG00000041287"
"14046","Sox8","SOX8","ENSMUSG00000024176"
"14047","Sox7","SOX7","ENSMUSG00000063060"
"14048","Sox6","SOX6","ENSMUSG00000051910"
"14049","Cep43","CEP43","ENSMUSG00000069135"
"14050","Spopl","SPOPL","ENSMUSG00000026771"
"14051","Lrp4","LRP4","ENSMUSG00000027253"
"14052","Tbx6","TBX6","ENSMUSG00000030699"
"14053","C2cd3","C2CD3","ENSMUSG00000047248"
"14054","Cnga4","CNGA4","ENSMUSG00000030897"
"14055","Dennd11","DENND11","ENSMUSG00000037172"
"14056","Sox13","SOX13","ENSMUSG00000070643"
"14057","Sox12","SOX12","ENSMUSG00000051817"
"14058","Sox11","SOX11","ENSMUSG00000063632"
"14059","Sox10","SOX10","ENSMUSG00000033006"
"14060","Sox1","SOX1","ENSMUSG00000096014"
"14061","Foxr1","FOXR1","ENSMUSG00000074397"
"14062","Foxr2","FOXR2","ENSMUSG00000071665"
"14063","Tbx3","TBX3","ENSMUSG00000018604"
"14064","C2cd2l","C2CD2L","ENSMUSG00000032120"
"14065","Obi1","OBI1","ENSMUSG00000022120"
"14066","Sox18","SOX18","ENSMUSG00000046470"
"14067","Sox17","SOX17","ENSMUSG00000025902"
"14068","Sox14","SOX14","ENSMUSG00000053747"
"14069","Sox5","SOX5","ENSMUSG00000041540"
"14070","Sox4","SOX4","ENSMUSG00000076431"
"14071","Sox2","SOX2","ENSMUSG00000074637"
"14072","H2az1","H2AZ1","ENSMUSG00000037894"
"14073","Eif1b","EIF1B","ENSMUSG00000006941"
"14074","Eif1","EIF1","ENSMUSG00000035530"
"14075","Cnga2","CNGA2","ENSMUSG00000005864"
"14076","Cngb1","CNGB1","ENSMUSG00000031789"
"14077","Cngb3","CNGB3","ENSMUSG00000056494"
"14078","Mttp","MTTP","ENSMUSG00000028158"
"14079","Idh3a","IDH3A","ENSMUSG00000032279"
"14080","Pabpn1l","PABPN1L","ENSMUSG00000069867"
"14081","Rars2","RARS2","ENSMUSG00000028292"
"14082","Cbs","CBS","ENSMUSG00000024039"
"14083","Larp7","LARP7","ENSMUSG00000027968"
"14085","Ppa1","PPA1","ENSMUSG00000020089"
"14086","Tac2","TAC3","ENSMUSG00000025400"
"14087","Baiap2","BAIAP2","ENSMUSG00000025372"
"14088","Idh1","IDH1","ENSMUSG00000025950"
"14089","Idh3g","IDH3G","ENSMUSG00000002010"
"14090","Idh3b","IDH3B","ENSMUSG00000027406"
"14091","Idh2","IDH2","ENSMUSG00000030541"
"14092","P3h4","P3H4","ENSMUSG00000006931"
"14093","Phospho1","PHOSPHO1","ENSMUSG00000050860"
"14094","Ficd","FICD","ENSMUSG00000053334"
"14096","Mars1","MARS1","ENSMUSG00000040354"
"14098","Dhdh","DHDH","ENSMUSG00000011382"
"14099","Hivep1","HIVEP1","ENSMUSG00000021366"
"14100","Ppa2","PPA2","ENSMUSG00000028013"
"14101","Tac1","TAC1","ENSMUSG00000061762"
"14102","Baiap3","BAIAP3","ENSMUSG00000047507"
"14105","Kifbp","KIFBP","ENSMUSG00000036955"
"14106","Alas1","ALAS1","ENSMUSG00000032786"
"14107","Mtarc2","MTARC2","ENSMUSG00000073481"
"14108","Mtarc1","MTARC1","ENSMUSG00000026621"
"14111","H2ax","H2AX","ENSMUSG00000049932"
"14112","Cntnap5c","CNTNAP5","ENSMUSG00000038048"
"14115","Kcnj13","KCNJ13","ENSMUSG00000079436"
"14116","Kcnj2","KCNJ2","ENSMUSG00000041695"
"14117","Macroh2a1","MACROH2A1","ENSMUSG00000015937"
"14118","Macroh2a2","MACROH2A2","ENSMUSG00000020086"
"14119","Ahcyl2","AHCYL2","ENSMUSG00000029772"
"14120","Fem1c","FEM1C","ENSMUSG00000033319"
"14122","Ddo","DDO","ENSMUSG00000063428"
"14123","Sgip1","SGIP1","ENSMUSG00000028524"
"14124","Kcnj10","KCNJ10","ENSMUSG00000044708"
"14125","Kcnj11","KCNJ11","ENSMUSG00000096146"
"14126","Kcnj3","KCNJ3","ENSMUSG00000026824"
"14127","Kcnj5","KCNJ5","ENSMUSG00000032034"
"14128","Kcnj6","KCNJ6","ENSMUSG00000043301"
"14129","Kcnj9","KCNJ9","ENSMUSG00000038026"
"14130","Zbtb11","ZBTB11","ENSMUSG00000022601"
"14131","Obsl1","OBSL1","ENSMUSG00000026211"
"14133","Mgat1","MGAT1","ENSMUSG00000020346"
"14134","Mgat2","MGAT2","ENSMUSG00000043998"
"14135","Mgat3","MGAT3","ENSMUSG00000042428"
"14136","Slc37a2","SLC37A2","ENSMUSG00000032122"
"14137","Zdhhc1","ZDHHC1","ENSMUSG00000039199"
"14138","Unc13a","UNC13A","ENSMUSG00000034799"
"14139","Adprs","ADPRS","ENSMUSG00000042558"
"14140","Zdhhc21","ZDHHC21","ENSMUSG00000028403"
"14141","Btbd8","BTBD8","ENSMUSG00000111375"
"14142","Wipf3","WIPF3","ENSMUSG00000086040"
"14143","Tyrobp","TYROBP","ENSMUSG00000030579"
"14144","Wee2","WEE2","ENSMUSG00000037159"
"14145","Zdhhc22","ZDHHC22","ENSMUSG00000048483"
"14146","Zdhhc23","ZDHHC23","ENSMUSG00000036304"
"14147","Nccrp1","NCCRP1","ENSMUSG00000047586"
"14148","Gfm2","GFM2","ENSMUSG00000021666"
"14149","Fam3c","FAM3C","ENSMUSG00000029672"
"14150","Copb1","COPB1","ENSMUSG00000030754"
"14151","Mybpc3","MYBPC3","ENSMUSG00000002100"
"14152","Macir","MACIR","ENSMUSG00000044768"
"14153","Flvcr2","FLVCR2","ENSMUSG00000034258"
"14154","Fam3a","FAM3A","ENSMUSG00000031399"
"14155","Copb2","COPB2","ENSMUSG00000032458"
"14156","Stmp1","STMP1","ENSMUSG00000073155"
"14157","Copz1","COPZ1","ENSMUSG00000060992"
"14158","Pkhd1l1","PKHD1L1","ENSMUSG00000038725"
"14159","Cope","COPE","ENSMUSG00000055681"
"14160","Fyco1","FYCO1","ENSMUSG00000025241"
"14161","Copg2","COPG2","ENSMUSG00000025607"
"14162","Mybpc1","MYBPC1","ENSMUSG00000020061"
"14163","Slc4a5","SLC4A5","ENSMUSG00000068323"
"14164","Clp1","CLP1","ENSMUSG00000027079"
"14165","Cntnap2","CNTNAP2","ENSMUSG00000039419"
"14166","Clpx","CLPX","ENSMUSG00000015357"
"14167","Sco2","SCO2","ENSMUSG00000091780"
"14168","Sco1","SCO1","ENSMUSG00000069844"
"14169","Ano1","ANO1","ENSMUSG00000031075"
"14170","Zdhhc3","ZDHHC3","ENSMUSG00000025786"
"14171","Zdhhc6","ZDHHC6","ENSMUSG00000024982"
"14172","Zdhhc14","ZDHHC14","ENSMUSG00000034265"
"14173","Nckap1l","NCKAP1L","ENSMUSG00000022488"
"14174","Mideas","MIDEAS","ENSMUSG00000042507"
"14175","Rbis","RBIS","ENSMUSG00000078784"
"14176","Cntnap4","CNTNAP4","ENSMUSG00000031772"
"14177","Zdhhc7","ZDHHC7","ENSMUSG00000031823"
"14178","Stra6","STRA6","ENSMUSG00000032327"
"14179","Tbl3","TBL3","ENSMUSG00000040688"
"14180","Troap","TROAP","ENSMUSG00000032783"
"14181","Haus2","HAUS2","ENSMUSG00000027285"
"14182","Dnah10","DNAH10","ENSMUSG00000038011"
"14183","Mcfd2","MCFD2","ENSMUSG00000024150"
"14184","Ppp2ca","PPP2CA","ENSMUSG00000020349"
"14185","Spef1","SPEF1","ENSMUSG00000027329"
"14186","Sephs2","SEPHS2","ENSMUSG00000049091"
"14187","Dtx3","DTX3","ENSMUSG00000040415"
"14188","Cdin1","CDIN1","ENSMUSG00000040282"
"14189","Fabp9","FABP9","ENSMUSG00000027528"
"14190","Fabp4","FABP4","ENSMUSG00000062515"
"14191","Nat8f7","NAT8B","ENSMUSG00000089694"
"14193","Fabp12","FABP12","ENSMUSG00000027530"
"14194","Pmp2","PMP2","ENSMUSG00000052468"
"14195","Gabrb2","GABRB2","ENSMUSG00000007653"
"14196","Mdfic2","MDFIC2","ENSMUSG00000090667"
"14197","Gabrd","GABRD","ENSMUSG00000029054"
"14198","Zfp384","ZNF384","ENSMUSG00000038346"
"14199","Gabra6","GABRA6","ENSMUSG00000020428"
"14200","Gabrb1","GABRB1","ENSMUSG00000029212"
"14201","Gabrb3","GABRB3","ENSMUSG00000033676"
"14202","Gabrq","GABRQ","ENSMUSG00000031344"
"14203","Gabrg1","GABRG1","ENSMUSG00000001260"
"14204","Gabrg2","GABRG2","ENSMUSG00000020436"
"14205","Gabrr1","GABRR1","ENSMUSG00000028280"
"14206","Gabrp","GABRP","ENSMUSG00000020159"
"14207","Naa15","NAA15","ENSMUSG00000063273"
"14208","Naa20","NAA20","ENSMUSG00000002728"
"14209","Naa35","NAA35","ENSMUSG00000021555"
"14210","Naa38","NAA38","ENSMUSG00000059278"
"14211","Naa50","NAA50","ENSMUSG00000022698"
"14212","Pdha1","PDHA1","ENSMUSG00000031299"
"14213","Pdk2","PDK2","ENSMUSG00000038967"
"14215","Gabra3","GABRA3","ENSMUSG00000031343"
"14216","Gabra4","GABRA4","ENSMUSG00000029211"
"14217","Gabrr3","GABRR3","ENSMUSG00000074991"
"14218","Naa12","NAA11","ENSMUSG00000024571"
"14220","Naa10","NAA10","ENSMUSG00000031388"
"14221","Naa25","NAA25","ENSMUSG00000042719"
"14222","Naa30","NAA30","ENSMUSG00000036282"
"14223","Naa40","NAA40","ENSMUSG00000024764"
"14224","Suclg2","SUCLG2","ENSMUSG00000061838"
"14225","Sucla2","SUCLA2","ENSMUSG00000022110"
